age,sexe,filiere,bourse,frais_payes,moyenne_sem1,moyenne_sem2,note_examen,absences,retards,connexions_lms,devoirs_rendus,participation,taux_presence,abandon
20,M,telecom,oui,oui,7.3,6.9,6.8,10,8,8,2,6,55,Décrochage
20,F,info,oui,oui,4.0,5.8,3.3,12,14,4,3,2,48,Décrochage
19,F,telecom,oui,oui,11.2,12.3,10.0,5,9,32,6,8,61,Diplômé
19,F,info,oui,oui,12.8,14.9,9.1,3,4,31,7,6,88,Diplômé
23,M,telecom,oui,oui,6.0,10.1,8.1,6,3,22,4,5,63,Inscrit
18,M,info,non,non,5.9,8.5,11.3,15,10,19,2,4,60,Inscrit
19,M,telecom,non,oui,17.1,18.5,15.8,2,1,21,7,10,95,Diplômé
21,M,info,non,oui,17.2,17.3,17.6,0,0,40,10,10,99,Diplômé
20,F,info,non,oui,6.3,6.3,6.2,13,8,9,4,3,41,Décrochage
19,M,telecom,non,non,7.6,7.3,5.2,14,12,4,2,2,37,Décrochage
20,M,telecom,non,non,10.0,13.6,8.0,5,2,27,8,8,64,Diplômé
21,M,info,non,non,12.3,12.1,13.0,7,0,26,7,9,80,Diplômé
23,F,info,non,non,2.8,5.0,4.7,19,9,10,0,1,49,Décrochage
23,F,telecom,non,oui,14.2,11.7,12.9,10,3,38,10,10,67,Diplômé
20,F,info,oui,oui,13.9,15.2,12.3,7,3,27,5,8,66,Diplômé
22,F,telecom,oui,oui,4.9,4.9,9.2,14,11,13,0,0,34,Décrochage
20,M,telecom,non,non,6.7,10.6,10.9,12,3,16,5,6,60,Inscrit
18,M,telecom,oui,oui,6.7,8.6,6.4,14,9,20,2,5,67,Décrochage
22,F,mtic,non,oui,14.8,14.5,13.0,5,4,32,9,10,95,Diplômé
22,F,mtic,oui,non,12.2,12.6,10.7,7,1,19,7,6,73,Diplômé
18,M,mtic,oui,oui,9.2,7.6,9.2,5,5,19,7,3,61,Décrochage
23,F,telecom,oui,oui,14.5,10.4,16.0,7,3,22,8,7,75,Diplômé
19,M,info,non,oui,15.9,15.1,16.9,1,4,29,10,10,96,Diplômé
22,M,info,non,non,9.8,8.9,12.5,10,3,12,8,5,76,Décrochage
20,F,info,oui,oui,2.0,3.3,4.1,16,15,5,2,2,30,Décrochage
23,F,mtic,non,non,6.6,14.9,13.8,9,8,19,5,4,69,Diplômé
21,F,info,oui,non,12.2,11.4,12.3,2,7,33,6,7,73,Diplômé
24,F,info,non,non,9.7,8.5,11.9,10,3,23,7,6,59,Inscrit
22,M,mtic,oui,oui,12.5,11.9,15.0,9,6,31,7,7,67,Diplômé
18,F,mtic,non,oui,13.3,15.5,12.3,8,2,29,8,6,73,Diplômé
23,F,info,non,non,6.3,3.2,10.9,14,9,13,0,4,47,Décrochage
24,M,telecom,non,non,10.5,7.0,10.1,12,8,22,3,7,66,Décrochage
22,M,mtic,non,oui,9.8,9.0,6.4,6,8,20,5,5,50,Décrochage
20,M,mtic,non,non,11.9,17.1,14.2,7,4,32,7,4,75,Diplômé
24,M,info,non,oui,15.3,15.4,14.2,5,4,24,7,5,75,Diplômé
21,F,telecom,non,oui,15.6,11.9,14.7,4,4,37,7,7,79,Diplômé
19,M,telecom,non,oui,6.0,2.3,7.1,14,15,9,2,3,41,Décrochage
23,M,info,non,oui,13.3,10.9,7.6,10,7,20,6,5,55,Diplômé
24,F,mtic,non,oui,13.8,10.4,15.0,8,6,23,5,5,55,Inscrit
20,M,info,non,oui,10.0,11.0,10.5,15,9,14,2,3,50,Décrochage
20,M,info,non,non,15.3,11.8,11.2,2,10,23,8,8,77,Diplômé
22,M,telecom,non,oui,8.7,8.1,6.2,11,10,13,3,6,65,Décrochage
23,M,mtic,oui,oui,8.0,7.1,6.2,15,8,18,3,3,51,Décrochage
22,M,info,non,oui,11.0,11.6,14.1,6,6,30,8,8,83,Diplômé
23,M,mtic,non,oui,12.8,17.6,12.1,6,5,37,9,6,74,Inscrit
20,M,telecom,oui,oui,17.1,15.3,16.7,0,4,36,10,8,99,Diplômé
22,F,info,non,oui,14.6,12.7,12.7,7,4,23,8,7,91,Diplômé
22,F,info,non,non,5.3,8.5,8.3,16,9,12,1,3,64,Décrochage
24,F,mtic,oui,oui,16.9,16.2,18.5,2,0,33,8,9,82,Diplômé
20,F,telecom,non,non,9.1,12.9,11.1,6,0,29,8,7,80,Diplômé
22,M,info,non,oui,7.5,7.5,5.4,12,8,5,1,3,43,Décrochage
21,M,telecom,non,non,16.6,16.1,16.0,0,3,36,10,9,98,Diplômé
18,F,info,non,oui,8.3,8.5,6.9,11,11,15,3,2,46,Décrochage
22,M,info,non,oui,9.8,10.9,10.4,7,5,25,7,4,89,Inscrit
18,M,telecom,non,oui,9.2,10.8,8.3,12,4,15,3,2,63,Décrochage
24,M,telecom,non,oui,2.0,5.2,4.5,20,12,30,8,2,48,Inscrit
20,F,mtic,non,oui,7.1,7.1,7.9,9,10,13,2,4,67,Décrochage
22,M,mtic,oui,oui,6.2,8.8,9.9,14,7,16,5,4,64,Décrochage
20,M,mtic,non,non,15.2,15.5,6.4,6,3,20,9,8,69,Inscrit
23,M,mtic,non,oui,13.2,15.3,13.0,6,4,25,7,6,70,Diplômé
19,M,mtic,oui,oui,8.8,11.3,8.3,5,7,13,3,5,68,Décrochage
23,F,mtic,non,oui,8.7,9.8,8.2,11,11,4,4,2,60,Inscrit
19,F,mtic,non,oui,5.9,4.7,6.1,17,11,11,1,1,44,Décrochage
24,F,telecom,oui,oui,6.5,8.5,10.6,15,12,16,5,2,40,Inscrit
23,M,mtic,oui,oui,8.8,13.5,13.0,11,6,21,6,6,69,Diplômé
24,F,info,non,non,10.8,8.0,11.2,7,8,19,3,7,70,Inscrit
21,M,telecom,non,non,13.5,13.8,16.1,4,5,24,7,7,67,Diplômé
22,F,info,oui,oui,10.1,7.9,6.4,12,11,16,1,3,57,Décrochage
23,M,info,non,non,14.6,13.5,12.6,4,3,32,6,9,88,Diplômé
24,F,mtic,oui,non,13.2,12.2,12.6,1,5,30,7,7,79,Inscrit
22,M,telecom,non,non,15.1,14.2,13.0,3,1,38,8,9,66,Décrochage
18,M,telecom,non,oui,11.9,12.8,11.4,6,5,35,8,7,76,Diplômé
24,F,mtic,non,non,10.7,10.4,8.7,13,6,24,8,5,64,Diplômé
19,M,mtic,oui,oui,8.5,10.2,13.0,10,6,25,5,4,69,Inscrit
18,F,telecom,non,oui,10.9,9.9,10.7,5,5,28,7,5,70,Diplômé
22,F,info,oui,non,16.0,13.3,17.3,10,0,27,6,7,96,Diplômé
24,M,mtic,non,oui,13.9,11.2,14.7,5,4,29,9,8,85,Diplômé
18,M,telecom,non,non,4.8,4.2,3.5,16,11,3,3,2,28,Décrochage
24,M,telecom,non,non,11.1,12.3,18.5,9,6,21,6,8,63,Décrochage
24,M,telecom,non,oui,6.6,8.7,8.1,12,9,14,3,4,60,Décrochage
23,F,info,oui,non,16.3,11.7,14.6,8,6,26,6,10,85,Inscrit
18,M,telecom,non,non,15.7,16.2,16.4,2,2,26,8,7,80,Diplômé
24,M,mtic,non,oui,11.8,9.1,9.7,7,7,26,6,6,73,Diplômé
22,M,mtic,non,non,9.9,9.6,11.3,8,5,19,8,7,68,Inscrit
24,F,mtic,oui,oui,10.1,12.2,10.1,7,5,24,6,5,74,Diplômé
21,M,mtic,oui,oui,12.1,13.6,11.9,11,4,21,5,4,67,Inscrit
20,M,info,non,oui,10.7,10.9,11.9,9,7,33,8,7,68,Inscrit
18,F,info,non,oui,15.1,11.7,14.5,10,3,27,5,6,73,Inscrit
20,F,info,non,non,5.2,2.0,2.0,18,10,0,0,2,33,Décrochage
23,M,mtic,oui,oui,10.9,12.6,11.4,6,0,28,6,6,66,Diplômé
18,M,info,non,non,9.9,7.6,13.2,13,6,16,4,6,80,Décrochage
21,F,mtic,oui,oui,12.3,13.1,10.8,7,6,28,6,6,86,Inscrit
19,M,info,non,oui,10.9,13.0,12.8,3,5,24,7,9,87,Inscrit
18,F,telecom,non,oui,16.5,11.4,12.4,0,4,33,9,10,93,Diplômé
19,F,telecom,non,oui,10.5,10.2,8.0,7,5,26,8,6,78,Décrochage
18,F,mtic,oui,oui,10.0,13.6,13.5,4,8,16,5,5,65,Diplômé
19,M,telecom,non,oui,3.1,5.1,12.2,10,11,7,2,2,52,Décrochage
23,M,info,non,oui,8.1,10.7,5.3,13,9,12,2,4,63,Inscrit
19,F,telecom,non,oui,6.1,6.1,3.8,11,13,8,5,1,52,Inscrit
22,F,mtic,non,non,7.3,8.0,3.5,13,12,6,4,1,46,Décrochage
20,F,info,oui,oui,6.8,8.0,10.3,14,8,17,4,4,57,Décrochage
21,M,info,non,oui,7.1,8.5,9.4,14,4,13,6,4,39,Inscrit
24,M,telecom,non,non,15.9,12.3,14.1,10,2,26,9,9,85,Diplômé
24,M,mtic,non,oui,9.9,2.6,5.4,11,9,12,3,4,47,Décrochage
21,M,info,non,oui,7.4,7.3,9.7,10,9,13,4,2,68,Inscrit
20,M,mtic,non,oui,14.8,15.0,14.5,4,3,39,6,10,65,Diplômé
20,M,telecom,non,oui,10.7,9.4,9.1,13,6,11,2,3,62,Décrochage
21,M,mtic,non,oui,13.6,10.6,16.0,5,5,24,4,5,72,Inscrit
20,M,info,non,oui,10.0,6.1,7.1,10,7,13,5,4,65,Décrochage
21,F,info,non,oui,13.2,13.7,17.5,4,5,30,9,9,97,Diplômé
20,F,telecom,oui,non,8.6,9.2,10.4,10,11,18,3,6,64,Inscrit
21,F,mtic,oui,oui,12.8,10.6,12.8,7,5,25,7,5,85,Inscrit
23,M,info,oui,non,7.4,6.7,8.1,15,9,5,1,3,41,Décrochage
19,M,info,non,non,13.6,15.7,11.2,9,3,29,9,6,82,Diplômé
20,M,mtic,non,non,14.0,12.2,16.0,6,3,27,9,9,92,Diplômé
18,M,info,oui,non,5.0,7.4,4.5,16,12,21,7,1,37,Inscrit
23,F,mtic,non,oui,8.5,11.9,8.3,9,5,30,5,8,70,Diplômé
23,F,telecom,non,non,12.4,9.3,14.3,7,6,23,7,5,73,Inscrit
23,F,info,oui,oui,12.3,11.5,14.2,6,8,23,5,7,75,Diplômé
19,M,info,non,oui,10.6,12.6,14.4,9,3,29,7,8,67,Diplômé
22,F,telecom,oui,oui,8.9,5.2,8.7,18,11,6,2,4,39,Décrochage
20,F,mtic,oui,oui,14.7,14.8,13.5,5,4,28,8,8,86,Diplômé
18,M,telecom,non,oui,11.4,8.2,14.4,1,4,29,7,6,76,Diplômé
22,M,telecom,non,non,15.5,14.9,13.5,7,4,31,7,8,72,Diplômé
19,M,telecom,oui,oui,14.2,13.3,15.7,10,6,26,6,6,66,Diplômé
19,M,info,oui,oui,10.4,2.7,8.0,12,9,9,3,0,50,Décrochage
19,M,info,non,oui,11.4,11.1,6.6,8,10,13,4,6,74,Diplômé
22,M,info,non,non,4.2,3.8,7.6,13,11,8,4,3,36,Décrochage
21,M,telecom,non,oui,14.0,14.4,13.9,4,2,33,7,8,95,Diplômé
18,F,info,non,oui,10.2,13.5,8.6,5,2,25,4,6,75,Décrochage
19,F,mtic,non,oui,13.7,6.6,11.4,8,5,16,6,7,59,Diplômé
21,F,info,non,non,2.3,5.5,6.0,12,11,5,1,1,38,Décrochage
22,M,telecom,non,non,15.1,14.8,10.8,2,2,29,7,9,74,Diplômé
20,M,mtic,non,non,9.1,9.8,11.5,6,7,17,3,4,49,Décrochage
22,F,info,oui,oui,11.6,7.8,11.5,10,10,25,6,6,63,Inscrit
24,M,telecom,non,non,9.7,8.2,6.2,9,8,13,5,5,52,Inscrit
19,M,info,non,non,12.1,12.7,11.4,5,5,20,6,5,72,Diplômé
18,M,telecom,non,oui,10.2,5.7,10.1,10,6,19,5,4,75,Décrochage
22,F,info,oui,oui,17.3,15.0,15.4,5,4,38,9,10,73,Diplômé
18,M,mtic,oui,non,13.2,11.9,15.7,4,4,25,8,8,98,Diplômé
24,F,telecom,oui,oui,9.7,9.5,12.0,7,8,14,6,4,64,Inscrit
22,M,telecom,non,oui,11.8,11.3,10.0,1,4,36,8,8,81,Diplômé
18,F,mtic,oui,oui,13.1,13.6,14.7,11,6,34,8,8,75,Inscrit
20,F,mtic,non,non,10.9,11.4,8.4,11,8,18,6,6,68,Inscrit
22,M,info,oui,oui,16.4,13.0,16.7,1,6,28,7,7,80,Diplômé
22,F,mtic,non,non,5.4,5.2,7.0,19,10,4,1,1,33,Décrochage
18,F,telecom,non,non,8.9,11.3,11.3,9,5,14,5,3,50,Décrochage
20,F,info,non,non,8.4,8.5,6.1,8,3,31,8,8,87,Diplômé
18,M,mtic,non,non,3.4,5.1,8.2,16,13,8,1,2,42,Décrochage
19,F,telecom,non,non,17.2,17.5,18.5,1,4,32,8,9,95,Diplômé
21,F,telecom,oui,oui,9.8,9.7,10.9,4,7,21,8,6,82,Diplômé
20,M,telecom,oui,oui,15.1,13.3,11.8,11,5,23,6,7,71,Inscrit
18,M,telecom,non,oui,11.3,15.0,10.7,8,8,21,5,7,63,Inscrit
22,M,telecom,oui,non,10.7,12.7,10.3,9,6,21,6,6,79,Diplômé
18,M,telecom,oui,oui,6.1,9.0,10.6,9,7,16,5,3,53,Inscrit
23,M,telecom,non,oui,15.9,16.7,9.7,4,5,28,8,8,71,Diplômé
19,F,mtic,oui,oui,14.8,16.5,13.6,4,7,28,8,10,89,Diplômé
23,M,mtic,non,non,13.5,14.6,13.3,5,7,40,6,8,77,Diplômé
24,M,telecom,oui,oui,11.2,12.9,11.3,2,4,32,7,8,77,Diplômé
19,F,mtic,non,oui,10.7,10.5,14.9,7,3,31,8,5,81,Diplômé
23,M,mtic,non,non,15.0,11.9,11.1,6,8,17,5,7,78,Diplômé
24,F,info,oui,oui,16.6,11.6,16.8,0,4,38,9,9,94,Diplômé
23,F,telecom,oui,oui,7.5,9.6,2.2,14,7,15,4,2,34,Décrochage
20,M,mtic,non,oui,13.0,14.4,15.0,1,6,21,7,7,75,Diplômé
23,M,mtic,non,oui,12.5,12.5,11.4,4,3,28,7,7,87,Diplômé
20,M,info,non,oui,15.1,14.5,12.1,0,2,35,10,7,90,Diplômé
18,F,telecom,non,oui,9.5,14.1,12.3,6,5,16,6,3,87,Décrochage
21,M,info,non,non,16.3,14.3,11.1,4,5,34,8,6,85,Diplômé
22,M,mtic,non,oui,11.6,7.8,8.6,7,7,20,6,6,62,Inscrit
24,M,info,non,oui,9.6,6.9,6.5,7,3,16,1,3,53,Décrochage
21,F,telecom,oui,non,7.1,7.8,6.9,11,10,21,5,5,58,Inscrit
21,M,telecom,oui,non,2.5,4.4,5.2,18,12,13,3,4,55,Décrochage
19,M,telecom,oui,oui,13.8,11.4,13.5,8,3,22,8,7,72,Diplômé
23,M,mtic,oui,oui,4.1,7.7,6.1,12,10,12,3,4,32,Décrochage
